iter	RMSE
0	31705.66028
1	29302.78077
2	26861.10902
3	25241.16247
4	24217.12943
5	23200.77572
6	22400.19116
7	21589.84269
8	20912.7929
9	20321.65817
10	19811.27511
11	19439.7254
12	18974.42346
13	18629.56537
14	18289.95005
15	18029.32167
16	17839.08108
17	17601.59522
18	17433.03818
19	17211.05103
20	16941.54619
21	16706.41755
22	16491.62454
23	16402.81025
24	16174.38961
25	16004.51319
26	15875.61251
27	15690.54776
28	15642.25251
29	15528.64876
30	15428.05633
31	15246.47205
32	15119.26402
33	15040.364
34	14964.69512
35	14822.24051
36	14685.61403
37	14579.79707
38	14456.15888
39	14386.53305
40	14277.02287
41	14201.75732
42	14016.00713
43	13893.64229
44	13767.86518
45	13721.9149
46	13682.24829
47	13648.243
48	13619.493
49	13491.58485
50	13426.25688
51	13315.97423
52	13198.7805
53	13099.35512
54	13050.17154
55	12957.34961
56	12892.41371
57	12841.18886
58	12787.32823
59	12764.57437
60	12699.85802
61	12640.63856
62	12550.52818
63	12508.61389
64	12437.54076
65	12419.44677
66	12359.64394
67	12288.0344
68	12235.06382
69	12205.37963
70	12147.32862
71	12115.58033
72	12051.42701
73	11989.52785
74	11929.20333
75	11915.52628
76	11845.25607
77	11790.54215
78	11774.83527
79	11706.0741
80	11640.79623
81	11610.55511
82	11555.63088
83	11528.69042
84	11517.50511
85	11462.9346
86	11425.36714
87	11393.14045
88	11377.66754
89	11341.51919
90	11315.98504
91	11243.71215
92	11223.5518
93	11169.20626
94	11129.2544
95	11068.18671
96	11011.0724
97	10977.06922
98	10922.41464
99	10876.33592
100	10843.03849
101	10827.3174
