iter	Passed	Remaining
0	1	114
1	3	180
2	5	181
3	7	180
4	9	180
5	11	182
6	13	183
7	15	180
8	17	177
9	18	174
10	20	171
11	22	169
12	24	166
13	26	163
14	27	161
15	29	159
16	32	160
17	33	157
18	35	154
19	37	151
20	38	149
21	40	147
22	42	144
23	43	142
24	45	140
25	47	138
26	48	135
27	50	133
28	51	128
29	52	127
30	54	124
31	56	123
32	58	121
33	59	119
34	61	117
35	63	115
36	65	114
37	67	113
38	69	111
39	70	109
40	72	107
41	74	105
42	75	103
43	77	102
44	79	100
45	81	99
46	83	97
47	84	95
48	86	93
49	88	92
50	90	90
51	91	88
52	93	86
53	95	84
54	96	82
55	98	81
56	100	79
57	101	77
58	103	75
59	105	73
60	106	71
61	108	69
62	110	68
63	112	66
64	114	64
65	115	63
66	117	61
67	119	59
68	120	57
69	122	55
70	124	54
71	125	52
72	127	50
73	129	48
74	130	47
75	132	45
76	133	43
77	135	41
78	137	39
79	139	38
80	140	36
81	142	34
82	144	33
83	146	31
84	147	29
85	149	27
86	151	26
87	152	24
88	154	22
89	156	20
90	157	19
91	159	17
92	161	15
93	162	13
94	164	12
95	166	10
96	167	8
97	169	6
98	171	5
99	173	3
100	174	1
101	176	0
